[STREAM] WebSocket server on ws://localhost:8089
[TWS] Connecting to TWS...
[TICK] F type=68 price=13.91
[TICK] NU type=68 price=17.11
[TICK] NU type=68 price=17.12
[TICK] F type=68 price=13.9
[TICK] SOFI type=68 price=20.39
[TICK] T type=68 price=27.27
[TICK] SOFI type=68 price=20.37
[TICK] NU type=68 price=17.11
[TICK] T type=68 price=27.28
[TICK] NU type=68 price=17.1
[TICK] SOFI type=68 price=20.35
[TICK] F type=68 price=13.91
[TICK] SOFI type=73 price=20.34
[TICK] T type=68 price=27.29
[TICK] SOFI type=68 price=20.37
[TICK] F type=68 price=13.9
[TICK] NU type=68 price=17.12
[TICK] F type=68 price=13.91
[TICK] SOFI type=68 price=20.38
[TICK] F type=68 price=13.92
[TICK] T type=68 price=27.28
[TICK] SOFI type=68 price=20.4
[TICK] F type=68 price=13.93
[TICK] NU type=68 price=17.14
[TICK] SOFI type=68 price=20.43
[TICK] SOFI type=68 price=20.41
[TICK] NU type=68 price=17.12
[TICK] NU type=68 price=17.13
[TICK] SOFI type=68 price=20.42
[TICK] NU type=68 price=17.14
[TICK] T type=68 price=27.27
[TICK] T type=68 price=27.28
[TICK] T type=68 price=27.27
[TICK] NU type=68 price=17.15
[TICK] SOFI type=68 price=20.4
[TICK] F type=68 price=13.91
[TICK] NU type=68 price=17.13
[TICK] SOFI type=68 price=20.39
[TICK] T type=68 price=27.29
[TICK] NU type=68 price=17.14
[TICK] T type=68 price=27.28
[TICK] SOFI type=68 price=20.4
[TICK] F type=68 price=13.92
[TICK] F type=68 price=13.93
[TICK] T type=68 price=27.29
[TICK] NU type=68 price=17.15
[TICK] NU type=68 price=17.14
[TICK] T type=68 price=27.3
[TICK] T type=68 price=27.29
[TICK] SOFI type=68 price=20.46
[TICK] NU type=68 price=17.16
[TICK] SOFI type=68 price=20.45
[TICK] T type=68 price=27.3
[TICK] F type=68 price=13.94
[TICK] SOFI type=68 price=20.46
[TICK] T type=68 price=27.28
[TICK] SOFI type=68 price=20.44
[TICK] T type=68 price=27.29
[TICK] T type=68 price=27.28
[TICK] NU type=68 price=17.15
[TICK] SOFI type=68 price=20.46
[TICK] T type=68 price=27.29
[TICK] SOFI type=68 price=20.49
[TICK] NU type=68 price=17.17
[TICK] F type=68 price=13.95
[TICK] SOFI type=68 price=20.48
[TICK] NU type=68 price=17.18
[TICK] T type=68 price=27.28
[TICK] F type=68 price=13.94
[TICK] T type=68 price=27.29
[TICK] NU type=68 price=17.19
[TICK] SOFI type=68 price=20.5
[TICK] T type=68 price=27.28
[TICK] NU type=68 price=17.2
[TICK] T type=68 price=27.27
[TICK] NU type=68 price=17.18
[TICK] T type=68 price=27.29
[TICK] SOFI type=68 price=20.53
[TICK] SOFI type=68 price=20.5
[TICK] T type=68 price=27.28
[TICK] T type=68 price=27.29
[TICK] SOFI type=68 price=20.53
[TICK] NU type=68 price=17.2
[TICK] T type=68 price=27.3
[TICK] SOFI type=68 price=20.54
[TICK] F type=68 price=13.93
[TICK] F type=68 price=13.94
[TICK] SOFI type=68 price=20.57
[TICK] T type=68 price=27.29
[TICK] T type=68 price=27.27
[TICK] NU type=68 price=17.21
[TICK] SOFI type=68 price=20.59
[TICK] SOFI type=68 price=20.6
[TICK] NU type=68 price=17.23
[TICK] SOFI type=68 price=20.59
[TICK] T type=68 price=27.28
[TICK] SOFI type=68 price=20.6
[TICK] NU type=68 price=17.21
[TICK] NU type=68 price=17.22
[TICK] SOFI type=68 price=20.62
[TICK] SOFI type=68 price=20.65
[TICK] SOFI type=68 price=20.64
[TICK] NU type=68 price=17.23
[TICK] T type=68 price=27.27
[TICK] T type=68 price=27.26
[TICK] T type=68 price=27.27
[TICK] SOFI type=68 price=20.63
[TICK] NU type=68 price=17.22
[TICK] SOFI type=68 price=20.64
[TICK] F type=68 price=13.93
[TICK] NU type=68 price=17.23
[TICK] T type=68 price=27.26
[TICK] F type=68 price=13.94
[TICK] SOFI type=68 price=20.63
[TICK] NU type=68 price=17.24
[TICK] T type=68 price=27.27
[TICK] SOFI type=68 price=20.66
[TICK] T type=68 price=27.26
[TICK] SOFI type=68 price=20.67
[TICK] NU type=68 price=17.22
[TICK] SOFI type=68 price=20.59
[TICK] NU type=68 price=17.21
[TICK] SOFI type=68 price=20.58
[TICK] NU type=68 price=17.22
[TICK] SOFI type=68 price=20.59
[TICK] SOFI type=68 price=20.58
[TICK] T type=68 price=27.27
[TICK] SOFI type=68 price=20.59
[TICK] F type=68 price=13.93
[TICK] SOFI type=68 price=20.6
[TICK] F type=68 price=13.94
[TICK] NU type=68 price=17.2
[TICK] SOFI type=68 price=20.59
[TICK] SOFI type=68 price=20.58
[TICK] NU type=68 price=17.19
[TICK] NU type=68 price=17.2
[TICK] T type=68 price=27.28
[TICK] SOFI type=68 price=20.57
[TICK] SOFI type=68 price=20.56
[TICK] F type=68 price=13.93
[TICK] F type=68 price=13.92
[TICK] T type=68 price=27.27
[TICK] F type=68 price=13.93
